b'"actual_costs_to_report_date","adopted_budget","amended_budget","available_balance","category","date","date_created","department","project_description","project_id","project_year","spent","subcategory","tax_supported_utilities"
"15929.26","500000","500000","484070.74","Env Services Lab Fac Upgrades","2017-04-30T00:00:00.000","2017-06-09T10:13:49.000","Sewage Disposal Utility","Laboratory Info Mgmt Upgrade","2040000815","2015","3.19",,"Utilities"
"87693.8","1667000","1667000","1579306.2","Computer Upgrades","2017-04-30T00:00:00.000","2017-06-09T10:13:49.000","Winnipeg Police Service","Police Div Systems Upgrade","2205000017","2017","5.26",,"Tax Supported (including Transit)"
"827919.4","1100000","1096425","268505.6","Regional Streets","2017-04-30T00:00:00.000","2017-06-09T10:13:49.000","Public Works","Main SB - Inkster / Mountain","1804101815","2015","75.51","Streets Renewals","Tax Supported (including Transit)"
"330000","330000","330000","0","Outdoor Aquatic Facilities","2017-04-30T00:00:00.000","2017-06-09T10:13:49.000","Municipal Accommodations","Outdoor Aquatic Facilities","6393000115","2015","100",,"Tax Supported (including Transit)"
"19683.94","1300000","497262.95","477579.01","River Crossings Monitoring and Rehabilitation","2017-04-30T00:00:00.000","2017-06-09T10:13:49.000","Sewage Disposal Utility","River Crossings Monitoring   P","2037500012","2012","3.96",,"Utilities"
"1487724.42","2516472","2516472","1028747.58","Local Streets","2017-04-30T00:00:00.000","2017-06-09T10:13:49.000","Public Works","LSR 17/16-R-03 MMM","1806100217","2017","59.12","Street Renewals","Tax Supported (including Transit)"
"9855472.9","0","12130000","2274527.1","Interceptors","2017-04-30T00:00:00.000","2017-06-09T10:13:49.000","Sewage Disposal Utility","Inkster Blvd Interceptor","2037001211","2011","81.25",,"Utilities"
"288642.2","185000","325000","36357.8","Building Communities II - Phase 2","2017-04-30T00:00:00.000","2017-06-09T10:13:49.000","Planning, Property and Development","Bldg Com - Admin","6351900013","2013","88.81",,"Tax Supported (including Transit)"
"1020","200000","200000","198980","Brady Landfill","2017-04-30T00:00:00.000","2017-06-09T10:13:49.000","Solid Waste Disposal Utility","Brady Alternative Energy Study","2062000716","2016","0.51",,"Utilities"
"403000","400000","403000","0","Other","2017-04-30T00:00:00.000","2017-06-09T10:13:49.000","Planning, Property and Development","Community/Neighbourhd Main St","6351241513","2013","100",,"Tax Supported (including Transit)"
"4300","120000","120000","115700","Library Replacement - Various","2017-04-30T00:00:00.000","2017-06-09T10:13:49.000","Community Services (including Community Incentive Grants)","Library Facility New-South Wpg","6213000117","2017","3.58",,"Tax Supported (including Transit)"
"3090","2200000","2200000","2196910","Regional Streets","2017-04-30T00:00:00.000","2017-06-09T10:13:49.000","Public Works","Kenaston-McGillivray/Bishop","1803000117","2017","0.14","Street Improvements","Tax Supported (including Transit)"
"174370.54","200000","200000","25629.46","Various","2017-04-30T00:00:00.000","2017-06-09T10:13:49.000","Solid Waste Disposal Utility","Closed Landfills Dispo Study","2060000313","2013","87.19",,"Utilities"
"3580041.04","4364977","4350791","770749.96","Local Streets","2017-04-30T00:00:00.000","2017-06-09T10:13:49.000","Public Works","LSR 14-R-07 Dillon","1806100714","2014","82.28","Street Renewals","Tax Supported (including Transit)"
"90111.09","250000","250000","159888.91","Computer Upgrades","2017-04-30T00:00:00.000","2017-06-09T10:13:49.000","Winnipeg Police Service","Mobile and Transient Users","2202600016","2016","36.04",,"Tax Supported (including Transit)"
"0","1100000","1100000","1100000","Other Treatment","2017-04-30T00:00:00.000","2017-06-09T10:13:49.000","Sewage Disposal Utility","Comminutor Chamber Rehab","2030003017","2017","0",,"Utilities"
"3912.66","256000","256000","252087.34","Library Shelving & Furniture  Replacement","2017-04-30T00:00:00.000","2017-06-09T10:13:49.000","Community Services (including Community Incentive Grants)","Library Safety & Access Prog","6210000116","2016","1.53",,"Tax Supported (including Transit)"
"0","2000000","2000000","2000000","Water Pollution Control Centre Reliability Upgrades","2017-04-30T00:00:00.000","2017-06-09T10:13:49.000","Sewage Disposal Utility","Asset Refurbish/Replace","2030000517","2017","0",,"Utilities"
"0","800000","800000","800000","Regional Streets","2017-04-30T00:00:00.000","2017-06-09T10:13:49.000","Public Works","Pembina-Cloutier/Ducharme","1804100617","2017","0","Streets Renewals","Tax Supported (including Transit)"
"563209.97","1217000","567000","3790.03","Computer Upgrades","2017-04-30T00:00:00.000","2017-06-09T10:13:49.000","Winnipeg Police Service","Police Comm Centre Main/Alt","2202101014","2014","99.33",,"Tax Supported (including Transit)"
"40703.77","0","52885","12181.23","Other Street Projects","2017-04-30T00:00:00.000","2017-06-09T10:13:49.000","Public Works","SMIR-Pavement Initiatives","1816010415","2015","76.97","Asset Management","Tax Supported (including Transit)"
"29041.58","1450000","1450000","1420958.42","Shoal Lake Aqueduct Maintenance","2017-04-30T00:00:00.000","2017-06-09T10:13:49.000","Waterworks Utility","Br 1 Aqueduct-Riverbank Stab E","2003000916","2016","2",,"Utilities"
"239521.98","300000","300000","60478.02","Other","2017-04-30T00:00:00.000","2017-06-09T10:13:49.000","Corporate Projects","City-Wide PM IT Solution Study","1200001615","2015","79.84",,"Tax Supported (including Transit)"
"577699.79","1800000","1800000","1222300.21","Peoplesoft Upgrade","2017-04-30T00:00:00.000","2017-06-09T10:13:49.000","Corporate Support Services","PeopleSoft Upgrade","3455000017","2017","32.09",,"Tax Supported (including Transit)"
"0","1229000","1229000","1229000","Riverbank Stabilization","2017-04-30T00:00:00.000","2017-06-09T10:13:49.000","Planning, Property and Development","Riverbank Stab/Phys Asset Prot","6351300217","2017","0",,"Tax Supported (including Transit)"
"134591.98","250000","250000","115408.02","Regional Streets","2017-04-30T00:00:00.000","2017-06-09T10:13:49.000","Public Works","New Regional Sidewalks","1832000211","2011","53.84","Active Transportation Facilities","Tax Supported (including Transit)"
"81296.59","200000","200000","118703.41","Community Facilities","2017-04-30T00:00:00.000","2017-06-09T10:13:49.000","Municipal Accommodations","Community Facilities","6394000116","2016","40.65",,"Tax Supported (including Transit)"
"17558.97","3300000","3300000","3282441.03","Parks and Open Space","2017-04-30T00:00:00.000","2017-06-09T10:13:49.000","Public Works","Parks & Rec Enhancement      P","1857000117","2017","0.53","Community Park Amenities","Tax Supported (including Transit)"
"606561.33","800000","797400","190838.67","Regional Streets","2017-04-30T00:00:00.000","2017-06-09T10:13:49.000","Public Works","Maryland-Portage/Broadway","1804100916","2016","76.07","Streets Renewals","Tax Supported (including Transit)"
"5100","142000","142000","136900","Integrated Property Based Information Systems","2017-04-30T00:00:00.000","2017-06-09T10:13:49.000","Community Services (including Community Incentive Grants)","Business Application Systems","6260000117","2017","3.59",,"Tax Supported (including Transit)"
"2642538.09","3905727","3311080.52","668542.43","Local Streets","2017-04-30T00:00:00.000","2017-06-09T10:13:49.000","Public Works","LSR 15-R-07 MMM","1806100815","2015","79.81","Street Renewals","Tax Supported (including Transit)"
"0","1000000","1000000","1000000","Regional Streets","2017-04-30T00:00:00.000","2017-06-09T10:13:49.000","Public Works","St. James-Sargent/Ellice","1804100717","2017","0","Streets Renewals","Tax Supported (including Transit)"
"128739.61","200000","224176","95436.39","Various","2017-04-30T00:00:00.000","2017-06-09T10:13:49.000","Fire Paramedic Service","Computer Aided Dispatch (CAD)","2106000015","2015","57.43",,"Tax Supported (including Transit)"
"0","699000","699000","699000","Brady Landfill","2017-04-30T00:00:00.000","2017-06-09T10:13:49.000","Solid Waste Disposal Utility","Brady Road Resource Mgmt Facil","2062000417","2017","0",,"Utilities"
"524638.68","500000","541000","16361.32","Regional Streets","2017-04-30T00:00:00.000","2017-06-09T10:13:49.000","Public Works","Henderson NB- Leighton/McLeod","1804101916","2016","96.98","Streets Renewals","Tax Supported (including Transit)"
"1410011.31","1500000","1494375","84363.69","Regional Streets","2017-04-30T00:00:00.000","2017-06-09T10:13:49.000","Public Works","Granular Road - Pipeline","1806101315","2015","94.35","Streets Renewals","Tax Supported (including Transit)"
"24217.2","200000","200000","175782.8","Parks and Open Space","2017-04-30T00:00:00.000","2017-06-09T10:13:49.000","Public Works","Elmwood-Kildonan Spray Pad","1857002414","2014","12.11","Community Park Amenities","Tax Supported (including Transit)"
"5600","156000","156000","150400","Rec Facility Safety & Accessibility Improvements","2017-04-30T00:00:00.000","2017-06-09T10:13:49.000","Community Services (including Community Incentive Grants)","Rec Facility Safety & Access","6250000117","2017","3.59",,"Tax Supported (including Transit)"
"1039462.03","1250000","1250000","210537.97","Regional Streets","2017-04-30T00:00:00.000","2017-06-09T10:13:49.000","Public Works","Marion St Wide/Grad Sep & Impr","1803000313","2013","83.16","Street Improvements","Tax Supported (including Transit)"
"0","1478094.87","1478094.87","1478094.87","Local Streets","2017-04-30T00:00:00.000","2017-06-09T10:13:49.000","Public Works","Charleswood Bridge Lease","1805001017","2017","0","Waterway Crossings and Grade Separations Various","Tax Supported (including Transit)"
"0","145000","145000","145000","Historic Buildings Stabilization","2017-04-30T00:00:00.000","2017-06-09T10:13:49.000","Municipal Accommodations","Historic Buildings","6331000717","2017","0",,"Tax Supported (including Transit)"
"0","0","10000","10000","Other Street Projects","2017-04-30T00:00:00.000","2017-06-09T10:13:49.000","Public Works","SMIR-Partial Depth Repair","1816010616","2016","0","Asset Management","Tax Supported (including Transit)"
"4120732.76","5935176","4910886.68","790153.92","Local Streets","2017-04-30T00:00:00.000","2017-06-09T10:13:49.000","Public Works","LSR 16-R-01 Morrison","1806100216","2016","83.91","Street Renewals","Tax Supported (including Transit)"
"0","565000","565000","565000","Innovative Transit Program","2017-04-30T00:00:00.000","2017-06-09T10:13:49.000","Transit","Innovative Transit Program","4230030117","2017","0",,"Tax Supported (including Transit)"
"4741.19","1520000","1520000","1515258.81","Local Streets","2017-04-30T00:00:00.000","2017-06-09T10:13:49.000","Public Works","17-LI-01 WSP - Granular Imp","1806101417","2017","0.31","Street Renewals","Tax Supported (including Transit)"
"0","100000","99575","99575","Parks and Open Space","2017-04-30T00:00:00.000","2017-06-09T10:13:49.000","Public Works","Bridgewater Forest Ftn Restore","1851000116","2016","0","Parks Improvements","Tax Supported (including Transit)"
"0","500000","500000","500000","Local Streets","2017-04-30T00:00:00.000","2017-06-09T10:13:49.000","Public Works","Granular Road - Road Oiling","1806101917","2017","0","Street Renewals","Tax Supported (including Transit)"
"2190238.85","2284224","2215800.27","25561.42","Local Streets","2017-04-30T00:00:00.000","2017-06-09T10:13:49.000","Public Works","LSR 16-R-06 AECOM","1806100716","2016","98.85","Street Renewals","Tax Supported (including Transit)"
"0","420000","420000","420000","Parks and Open Space","2017-04-30T00:00:00.000","2017-06-09T10:13:49.000","Public Works","Parks Road Renewal","1856000317","2017","0","Pathway/Roadway/Tennis Court Upgrading","Tax Supported (including Transit)"
"871.27","300000","300000","299128.73","Other Street Projects","2017-04-30T00:00:00.000","2017-06-09T10:13:49.000","Public Works","Land Acq - Transp Right of Way","1834000116","2016","0.29","Land Acquisition","Tax Supported (including Transit)"
"0","400000","400000","400000","Pumping Stations","2017-04-30T00:00:00.000","2017-06-09T10:13:49.000","Waterworks Utility","Hurst Pumping Stn          MRP","2005000700","2017","0",,"Utilities"
"0","498000","498000","498000","Water System Security Upgrades","2017-04-30T00:00:00.000","2017-06-09T10:13:49.000","Waterworks Utility","Water System Security Upgrades","2001001517","2017","0",,"Utilities"
"215167.52","700000","700000","484832.48","Water Treatment - Other","2017-04-30T00:00:00.000","2017-06-09T10:13:49.000","Waterworks Utility","WTP-Projects and Review","2002000115","2015","30.74",,"Utilities"
"6578663.44","65203285.8","11963285.8","5384622.36","Wastewater Sewage Treatment Program","2017-04-30T00:00:00.000","2017-06-09T10:13:49.000","Sewage Disposal Utility","Biosolids Budget             P","203110004B","2012","54.99",,"Utilities"
"368960.6","410000","410000","41039.4","Cemeteries - Improvements","2017-04-30T00:00:00.000","2017-06-09T10:13:49.000","Planning, Property and Development","Cemeteries - Improvements","6322100115","2015","89.99",,"Tax Supported (including Transit)"
"42195.91","200000","200000","157804.09","Computer Automation","2017-04-30T00:00:00.000","2017-06-09T10:13:49.000","Planning, Property and Development","Computer Automation","6361000416","2016","21.1",,"Tax Supported (including Transit)"
"3184680.69","2747736","3418805.86","234125.17","Local Streets","2017-04-30T00:00:00.000","2017-06-09T10:13:49.000","Public Works","LSR 16-R-08 In House","1806100916","2016","93.15","Street Renewals","Tax Supported (including Transit)"
"389758.35","400000","400000","10241.65","Building Communities II - Phase 2","2017-04-30T00:00:00.000","2017-06-09T10:13:49.000","Planning, Property and Development","Bldg Com-Mynarski Ward      PM","6351911113","2013","97.44",,"Tax Supported (including Transit)"
"17801","200000","199100","181299","Parks and Open Space","2017-04-30T00:00:00.000","2017-06-09T10:13:49.000","Public Works","Athletic Fields - Improvements","1852000116","2016","8.94","Athletic Fields Improvements","Tax Supported (including Transit)"
"720144.47","1400000","771000","50855.53","Various","2017-04-30T00:00:00.000","2017-06-09T10:13:49.000","Waterworks Utility","GWWD Railway Bridge Rehab","2006000315","2015","93.4",,"Utilities"
"2002596.03","2113208","2136340","133743.97","Local Streets","2017-04-30T00:00:00.000","2017-06-09T10:13:49.000","Public Works","Lane Renewals","1806300114","2014","93.74","Lane Renewals","Tax Supported (including Transit)"
"652733.48","909000","909000","256266.52","Indoor Aquatic Facilities","2017-04-30T00:00:00.000","2017-06-09T10:13:49.000","Municipal Accommodations","Pan Am Indoor Pool - Parking L","6392010116","2016","71.81",,"Tax Supported (including Transit)"
"304741.13","0","350000","45258.87","Other","2017-04-30T00:00:00.000","2017-06-09T10:13:49.000","City Clerks","ICF-CFRS Dashboard","0400041715","2015","87.07",,"Tax Supported (including Transit)"
"1156461.88","1300000","1295775","139313.12","Regional Streets","2017-04-30T00:00:00.000","2017-06-09T10:13:49.000","Public Works","Grassie/Lag-Intersection Imprv","1804101915","2015","89.25","Streets Renewals","Tax Supported (including Transit)"
"0","0","168380","168380","Other","2017-04-30T00:00:00.000","2017-06-09T10:13:49.000","City Clerks","ICF - Enterprise Mobility Mgmt","0400171716","2017","0",,"Tax Supported (including Transit)"
"412500","990000","990000","577500","Other","2017-04-30T00:00:00.000","2017-06-09T10:13:49.000","Municipal Accommodations","East District Police Stn Lease","6331002817","2017","41.67",,"Tax Supported (including Transit)"
"293055.3","32456000","32456000","32162944.7","Transit Buses","2017-04-30T00:00:00.000","2017-06-09T10:13:49.000","Transit","Transit Buses","4210000216","2016","0.9",,"Tax Supported (including Transit)"
"364355.62","500000","498375","134019.38","Regional Streets","2017-04-30T00:00:00.000","2017-06-09T10:13:49.000","Public Works","Isabel-Notre Dame/William","1804100316","2016","73.11","Streets Renewals","Tax Supported (including Transit)"
"716153.75","900000","897075","180921.25","Local Streets","2017-04-30T00:00:00.000","2017-06-09T10:13:49.000","Public Works","Sidewalk Renewals Local Street","1806200114","2014","79.83","Sidewalks","Tax Supported (including Transit)"
"36.47","225000","225000","224963.53","Riverbank Greenway Programs","2017-04-30T00:00:00.000","2017-06-09T10:13:49.000","Planning, Property and Development","Riverbank Greenway Programs","6351300117","2017","0.02",,"Tax Supported (including Transit)"
"396744.63","800000","797400","400655.37","Regional Streets","2017-04-30T00:00:00.000","2017-06-09T10:13:49.000","Public Works","Academy-Stafford/Maryland","1804100616","2016","49.75","Streets Renewals","Tax Supported (including Transit)"
"251029.2","0","271429","20399.8","Recreation and Leisure Facilities","2017-04-30T00:00:00.000","2017-06-09T10:13:49.000","Municipal Accommodations","St. James - Brooklands Ward  P","6399020113","2013","92.48",,"Tax Supported (including Transit)"
"510848.55","1900000","1803058.69","1292210.14","Shoal Lake Aqueduct Maintenance","2017-04-30T00:00:00.000","2017-06-09T10:13:49.000","Waterworks Utility","Aqueduct Asset Preservation","2003000615","2015","28.33",,"Utilities"
"2265944.52","2800000","2800000","534055.48","Other Treatment","2017-04-30T00:00:00.000","2017-06-09T10:13:49.000","Sewage Disposal Utility","Hauled Liq Waste Acceptnce Fac","2034000911","2011","80.93",,"Utilities"
"0","1000000","1000000","1000000","Pumping Station Upgrade","2017-04-30T00:00:00.000","2017-06-09T10:13:49.000","Water & Waste - Land Drainage and Flood Control","Flood Pumping Station Rehab","2076500117","2017","0",,"Tax Supported (including Transit)"
"224131.82","730000","730000","505868.18","Water Treatment - Other","2017-04-30T00:00:00.000","2017-06-09T10:13:49.000","Waterworks Utility","WT Research&Process Opt Facili","2002500615","2015","30.7",,"Utilities"
"95705.66","101500","101500","5794.34","Local Improvements - Ongoing Program","2017-04-30T00:00:00.000","2017-06-09T10:13:49.000","Local Improvements","ConistonSt-Asph Conc Ln Pav 16","1420211514","2014","94.29",,"Tax Supported (including Transit)"
"22765.48","3250000","3250000","3227234.52","Brady Landfill","2017-04-30T00:00:00.000","2017-06-09T10:13:49.000","Solid Waste Disposal Utility","Brady Landfill-Staff Bldg  MRP","2062000300","2016","0.7",,"Utilities"
"885728.78","1322408","1322408","436679.22","Local Streets","2017-04-30T00:00:00.000","2017-06-09T10:13:49.000","Public Works","LSR 17/16-R-05B AECOM","1806100517","2017","66.98","Street Renewals","Tax Supported (including Transit)"
"3675127.87","3917160","4254429.23","579301.36","Local Streets","2017-04-30T00:00:00.000","2017-06-09T10:13:49.000","Public Works","LSR 16-R-02B Morrison","1806101016","2016","86.38","Street Renewals","Tax Supported (including Transit)"
"0","547000","547000","547000","Arenas","2017-04-30T00:00:00.000","2017-06-09T10:13:49.000","Municipal Accommodations","Arenas","6391000117","2017","0",,"Tax Supported (including Transit)"
"0","325000","325000","325000","Floodplain Mgmt","2017-04-30T00:00:00.000","2017-06-09T10:13:49.000","Water & Waste - Land Drainage and Flood Control","Flood Manual Upgrades","2070001216","2016","0",,"Tax Supported (including Transit)"
"2934534.12","3351916","3005022.27","70488.15","Local Streets","2017-04-30T00:00:00.000","2017-06-09T10:13:49.000","Public Works","LSR 16-R-03B MMM","1806101116","2016","97.65","Street Renewals","Tax Supported (including Transit)"
"0","625000","175000","175000","Fire/Life Safety Replacement/Asbestos Abatement","2017-04-30T00:00:00.000","2017-06-09T10:13:49.000","Municipal Accommodations","Fire/Life Safety/Regulatory","6331000417","2017","0",,"Tax Supported (including Transit)"
"0","825000","825000","825000","Pumping Stations","2017-04-30T00:00:00.000","2017-06-09T10:13:49.000","Waterworks Utility","Pump Station Reliability Upgrd","2005000316","2016","0",,"Utilities"
"0","3223000","3223000","3223000","Aqueduct Intake Con Assmt","2017-04-30T00:00:00.000","2017-06-09T10:13:49.000","Waterworks Utility","Aqueduct Intake Con Assmt","2012000217","2017","0",,"Utilities"
"0","2450000","2450000","2450000","Lift Station","2016-05-31T00:00:00.000","2016-06-07T00:00:00.000","Sewage Disposal Utility","Lift Station Upgrading","2035000116","2016","0"," ","Utilities"
"0","750000","750000","750000","Public Water Outlets","2016-01-31T00:00:00.000","2016-03-10T00:00:00.000","Waterworks Utility","Public Water Outlets","2001001713","2013","0"," ","Utilities"
"1910463.35","2130000","2123078","212614.65","Regional Streets","2017-04-30T00:00:00.000","2017-06-09T10:13:49.000","Public Works","Route 90-Ness/Ellice","1804100814","2014","89.99","Streets Renewals","Tax Supported (including Transit)"
"93093.93","150000","149437.5","56343.57","Regional Streets","2017-04-30T00:00:00.000","2017-06-09T10:13:49.000","Public Works","New Non - Regional Sidewalks","1832000315","2015","62.3","Active Transportation Facilities","Tax Supported (including Transit)"
"168148","400000","400000","231852","Downtown Enhancement Program","2017-04-30T00:00:00.000","2017-06-09T10:13:49.000","Planning, Property and Development","Downtown Enhancement Program","6351800115","2015","42.04",,"Tax Supported (including Transit)"
"0","250000","250000","250000","Arc Flash Hazard Analysis / Remediation","2017-11-30T00:00:00.000","2017-12-07T11:35:55.000","Sewage Disposal Utility","Arc Flash Hazard Analysis/Remd","2030001814","2014","0",,"Utilities"
"490526.51","500000","498125","7598.49","Regional Streets","2017-04-30T00:00:00.000","2017-06-09T10:13:49.000","Public Works","Rec Walkways & Bike Paths","1832000112","2012","98.47","Active Transportation Facilities","Tax Supported (including Transit)"
"978029.74","1000000","1000000","21970.26","Wastewater Sewage Treatment Program","2017-04-30T00:00:00.000","2017-06-09T10:13:49.000","Sewage Disposal Utility","NEWPCC Digester Rehab        P","203110025B","2012","97.8",,"Utilities"
"3625020.21","4000000","3987000","361979.79","Regional Streets","2017-04-30T00:00:00.000","2017-06-09T10:13:49.000","Public Works","Selkirk-Salter/ McGregor","1804100315","2015","90.92","Streets Renewals","Tax Supported (including Transit)"
"442435.55","500000","498375","55939.45","Regional Streets","2017-04-30T00:00:00.000","2017-06-09T10:13:49.000","Public Works","Rec Walkways and Bk Path Renew","1806101314","2014","88.78","Active Transportation Facilities","Tax Supported (including Transit)"
"130656.93","450000","450000","319343.07","Water System Security Upgrades","2017-04-30T00:00:00.000","2017-06-09T10:13:49.000","Waterworks Utility","Reg. Assmt of Water System","2001000716","2016","29.03",,"Utilities"
"1286146.21","16767000","16767000","15480853.79","Transit Buses","2017-04-30T00:00:00.000","2017-06-09T10:13:49.000","Transit","Transit Buses","4210000215","2015","7.67",,"Tax Supported (including Transit)"
"1429234.04","2000000","1553500","124265.96","Regional Streets","2017-04-30T00:00:00.000","2017-06-09T10:13:49.000","Public Works","Main NB - Higgins/ Redwood","1804101515","2015","92","Streets Renewals","Tax Supported (including Transit)"
"72136.65","408000","408000","335863.35","Cemeteries - Improvements","2017-04-30T00:00:00.000","2017-06-09T10:13:49.000","Planning, Property and Development","Cemeteries - Improvements","6322100117","2017","17.68",,"Tax Supported (including Transit)"
"0","200000","200000","200000","Brady Landfill","2017-04-30T00:00:00.000","2017-06-09T10:13:49.000","Solid Waste Disposal Utility","Brady Drainage Roadwy&Site Imp","2062000617","2017","0",,"Utilities"
"912746.37","1884976","1884976","972229.63","Regional Streets","2017-04-30T00:00:00.000","2017-06-09T10:13:49.000","Public Works","LSR 17/16-R-06B AECOM","1806100617","2017","48.42","Streets Renewals","Tax Supported (including Transit)"
"287489.33","400000","400000","112510.67","Building Communities II - Phase 2","2017-04-30T00:00:00.000","2017-06-09T10:13:49.000","Planning, Property and Development","Bldg Com-Point Douglas Ward PM","6351913113","2013","71.87",,"Tax Supported (including Transit)"
"2821936.62","1947043","3114741.59","292804.97","Local Streets","2017-04-30T00:00:00.000","2017-06-09T10:13:49.000","Public Works","Lane Renewals 15-RL-01B KGS","1806300215","2015","90.6","Lane Renewals","Tax Supported (including Transit)"
"676333.44","315000","792000","115666.56","Building Communities II - Phase 2","2017-04-30T00:00:00.000","2017-06-09T10:13:49.000","Planning, Property and Development","Bldg Com-St. Vital Ward     PM","6351990013","2013","85.4",,"Tax Supported (including Transit)"
"840000","965000","965000","125000","Recreation Refurbishment & Redevelopment","2017-04-30T00:00:00.000","2017-06-09T10:13:49.000","Community Services (including Community Incentive Grants)","Community Centre Reno Grant","6252000115","2015","87.05",,"Tax Supported (including Transit)"
"1425427.42","1538000","1538000","112572.58","Community Incentive Grant Program","2017-04-30T00:00:00.000","2017-06-09T10:13:49.000","Community Services (including Community Incentive Grants)","Community Incentive Grant Prog","6251000112","2012","92.68",,"Tax Supported (including Transit)"
"0","200000","950000","950000","Parks and Open Space","2017-04-30T00:00:00.000","2017-06-09T10:13:49.000","Public Works","Crescent Drive Park","1857002014","2014","0","Community Park Amenities","Tax Supported (including Transit)"
"8227.31","2981000","2981000","2972772.69","Local Streets","2017-04-30T00:00:00.000","2017-06-09T10:13:49.000","Public Works","Lane Renewals - 17-RL-01B WSP","1806300217","2017","0.28","Lane Renewals","Tax Supported (including Transit)"
"4743.56","250000","250000","245256.44","Library Shelving & Furniture  Replacement","2017-04-30T00:00:00.000","2017-06-09T10:13:49.000","Community Services (including Community Incentive Grants)","Library Refurb/Redevelop Prog","6210000416","2016","1.9",,"Tax Supported (including Transit)"
"0","589800","589800","589800","Various","2017-04-30T00:00:00.000","2017-06-09T10:13:49.000","Fire Paramedic Service","Tough books","2104018017","2017","0",,"Tax Supported (including Transit)"
"126599.87","135000","135000","8400.13","Other Treatment","2017-04-30T00:00:00.000","2017-06-09T10:13:49.000","Sewage Disposal Utility","360 McPhillips Equip Storage","2030003115","2015","93.78",,"Utilities"
"392421.51","1000000","650000","257578.49","Asset Management Strategy","2017-04-30T00:00:00.000","2017-06-09T10:13:49.000","Waterworks Utility","Utility Asset Mgmt System","2010000913","2013","60.37",,"Utilities"
"66486.93","1400000","1400000","1333513.07","Other Treatment","2017-04-30T00:00:00.000","2017-06-09T10:13:49.000","Sewage Disposal Utility","WIMS Dashboard","2040001716","2016","4.75",,"Utilities"
"429128.84","475000","475000","45871.16","Re-Roofing at Water Pollution Control Centres","2017-04-30T00:00:00.000","2017-06-09T10:13:49.000","Sewage Disposal Utility","WPCC - Re-Roofing","2030001015","2015","90.34",,"Utilities"
"0","200000","200000","200000","Other Treatment","2017-04-30T00:00:00.000","2017-06-09T10:13:49.000","Sewage Disposal Utility","Corp & Dept Asset Mgmt Plan","2030003316","2016","0",,"Utilities"
"0","100000","100000","100000","Other","2017-04-30T00:00:00.000","2017-06-09T10:13:49.000","Municipal Accommodations","Gen Replace & Upgrade","6331020813","2013","0",,"Tax Supported (including Transit)"
"0","120000","120000","120000","Other Treatment","2017-04-30T00:00:00.000","2017-06-09T10:13:49.000","Sewage Disposal Utility","Coll Power Reliablity Study","2030003216","2016","0",,"Utilities"
